Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE55513730204360,Tue Feb 18 18:26:54 CET 2020,3861.55,EUR,Perferendis id consectetur quis doloribus provident velit.
Jos,BE69771770897312,BE13399104638338,Wed Feb 05 03:59:08 CET 2020,-4878.78,EUR,Quaerat et ut sit illum eum.
Jos,BE69771770897312,BE19037892580374,Wed Feb 19 00:54:41 CET 2020,-4172.31,EUR,Iure aliquam eveniet est at.
Jos,BE69771770897312,BE50165229854392,Wed Feb 12 22:43:23 CET 2020,2926.53,EUR,Autem voluptatem optio omnis a qui.
Jos,BE69771770897312,BE37599850642877,Sun Feb 02 15:55:39 CET 2020,-3533.14,EUR,Eum nam amet earum quia dolorem dolorem.
Jos,BE69771770897312,BE83753042356959,Mon Feb 17 03:57:19 CET 2020,-2051.94,EUR,Saepe sapiente harum rem.
Jos,BE69771770897312,BE92224866315578,Sun Jan 26 23:55:19 CET 2020,-3158.78,EUR,Consequatur a amet.
Jos,BE69771770897312,BE89170376233407,Thu Jan 30 00:46:14 CET 2020,-3557.09,EUR,Vel eius fugiat esse perferendis amet quia modi.
Jos,BE69771770897312,BE48711560107866,Wed Jan 29 16:32:24 CET 2020,3460.77,EUR,Ex occaecati aut iusto temporibus itaque.
Jos,BE69771770897312,BE14523551666364,Fri Feb 14 23:47:11 CET 2020,3025.8,EUR,Aperiam et esse.
Jos,BE69771770897312,BE64789968504414,Wed Feb 19 06:19:34 CET 2020,-3873.69,EUR,Occaecati sed ducimus.
Jos,BE69771770897312,BE60106475126635,Sat Feb 15 11:32:32 CET 2020,-1248.21,EUR,Corrupti dolorum est ut.
Jos,BE69771770897312,BE81163961848785,Fri Feb 07 03:10:16 CET 2020,4635.92,EUR,Dolorem quod laboriosam.
Jos,BE69771770897312,BE15542918240631,Wed Jan 29 07:15:16 CET 2020,4505.3,EUR,Quam magni asperiores debitis.
Jos,BE69771770897312,BE26178080139732,Mon Feb 10 04:01:41 CET 2020,3809.56,EUR,Voluptate omnis sit aut quod.
Jos,BE69771770897312,BE75359211650825,Mon Feb 10 15:53:53 CET 2020,4365.91,EUR,Dolorem quibusdam quae voluptatem ipsum debitis explicabo qui.
Jos,BE69771770897312,BE38165588229547,Sat Feb 15 22:56:48 CET 2020,2847.39,EUR,Rerum molestiae aut.
Jos,BE69771770897312,BE95900011316498,Mon Feb 10 17:46:26 CET 2020,2720.75,EUR,Beatae recusandae vel.
Jos,BE69771770897312,BE80486041207232,Fri Feb 07 19:01:43 CET 2020,3772.91,EUR,Sed accusantium autem cum doloremque.
Jos,BE69771770897312,BE15017121743951,Sat Feb 15 23:54:10 CET 2020,-2591.72,EUR,Inventore dignissimos et iure et rem.
Jos,BE69771770897312,BE71922329460759,Wed Feb 12 06:56:42 CET 2020,124.98,EUR,Inventore quia eos.
Jos,BE69771770897312,BE37875979731860,Mon Feb 17 01:56:54 CET 2020,-4417.14,EUR,Blanditiis et sit vitae neque est suscipit.
Jos,BE69771770897312,BE89027561166344,Mon Feb 17 21:33:31 CET 2020,-2948.75,EUR,Laboriosam enim enim suscipit labore est quas.
Jos,BE69771770897312,BE97205968717967,Thu Jan 23 02:00:38 CET 2020,-2932.47,EUR,Et iste unde omnis quis quo id eum.
